Acorn Archimedes|$archimedes
Acorn BBC/Electron|$electron
Acorn BBC/Electron|$bbcb
Acorn BBC/Electron|$bbca
Adventure Vision|$advision
Alice 32|$alice32
Alice 90|$alice90
Amstrad CPC|$cpc
Amstrad GX4000|$gx4000
Amstrad PCW|$pcw
APF MP1000|$apfm1000
Apple II|$apple2
Apple IIGS|$apple2gs
Apple Macintosh|$mac
Aquarius|$aquarius
Arcade|$info
Arcadia 2001|$arcadia
Astrocade|$astrocde
Atari 2600|$a2600
Atari 400/800|$a800
Atari 5200|$a5200
Atari 7800|$a7800
Atari Jaguar|$jaguar
Atari Lynx|$lynx
Atari XE|$xegs
Bandai Pippin|$pippin
Bandai WonderSwan|$wswan
Bandai WonderSwan Color|$wscolor
Channel F|$channelf
CoCo|$coco
Coleco Adam|$adam
Colecovision|$coleco
Commodore 64|$c64
Commodore Amiga|$amigaocs
Commodore Amiga CD32|$cd32
Commodore PET|$pet
Commodore VIC-20|$vic1001
CreatiVision|$crvision
Dick Smith Super-80|$super80
Dragon|$dragon
Fujitsu FM Towns|$fmtowns
Fujitsu FM-7|$fm7
Fujitsu FM-77AV|$fm77av
Gamate|$gamate
GCE Vectrex|$vectrex
IBM PC 5150|$ibm5150
Jupiter Ace|$jupace
Mattel Intellivision|$intv
Mega Duck|$megaduck
MicroVision|$microvision
MSX|$msx1
MSX 2|$msx2
NEC PC-8801|$pc8801
NEC PC-98 series|$pc98
NEC PC-Engine CD|$pcecd
NEC Supergraphx|$sgx
NEC TurboGrafx-16|$tg16
Nintendo 64|$n64
Nintendo 64DD|$n64dd
Nintendo Famicom|$nes
Nintendo Famicom|$famicom
Nintendo Game Boy|$gameboy
Nintendo Game Boy Color|$gbcolor
Nintendo GBA|$gba
Nintendo Pokémon Mini|$pokemini
Nintendo Super Famicom|$snes
Nintendo Virtual Boy|$vboy
Olivetti PC-128|$pro128
Olivetti PC-128s|$pro128s
Panasonic 3DO|$3do
Pasogo|$pasogo
Phillips CD-i|$cdi
Phillips Videopac|$g7400
Phillips Videopac|$odyssey2
Sega CD|$segacd
Sega Game Gear|$gamegear
Sega Mark III|$sms
Sega Mega Drive|$megadriv
Sega Mega Drive 32X|$32x
Sega Mega-CD|$megacdj
Sega Mega-CD|$megacd
Sega Mega-Tech|$megatech
Sega Pico|$pico
Sega Saturn|$saturn
Sega Saturn|$sat
Sega SG-1000|$sg1000
Sega SPC-1000|$spc1000
Sega ST-V|$stv
Sharp X1|$x1
Sharp X68000|$x68k
Sinclair ZX Spectrum|$spectrum
Sinclair ZX Spectrum+3|$specpls3
Sinclair ZX-81|$zx81
SNK Neo-Geo AES|$neogeo
SNK Neo-Geo CD|$neocd
SNK Neo-Geo Pocket|$ngp
SNK Neo-Geo Pocket Color|$ngpc
Sony PlayStation|$psx
Sord M.5|$m5
Spectravideo SV 328|$svi328
Studio II|$studio2
Super Cass. Vision|$scv
Super Vision|$svision
Thomson MO5/TO7|$mo5
Thomson MO5/TO7|$to7
Thomson MO6/TO8|$to8
Thomson MO6/TO8|$mo6
Thomson TO|$to
TI-99/4A|$ti99
Tomy Pyuuta|$pyuuta
Tomy Tutor|$tutor
TOURVision|$pce
TRS-80 MC-10|$mc10
VC 4000|$vc4000
Videoton TVC|$tvc
VTECH V.Smile|$vsmile
